textID,text,selected_text,sentiment,id
fa020570d4," Milk, Gran Torino, Bolt, Bride Wars, New In Town (yeah I got through a few...) **** I love longhaul",love,positive,0
649e31adcc,Starbucks I`m lovin` it,Starbucks I`m lovin` it,positive,1
8891d08a8c, Ben and Jerry...yummmmy!!!,.yummmmy!,positive,2
94a3f5315a," Hello, I see your online, can u talk to me pleeez!  From a fellow BAMF. lol","Hello, I see your online, can u talk to me pleeez!  From a fellow BAMF. lol",neutral,3
cb280b3adb,"_ kk`s  have fun eating lol, remember shaun loves you haha",fun,positive,4
b3affd517f,"  it did, i didnt really watch it haha","it did, i didnt really watch it haha",neutral,5
5295a74fba,"Just got done discing, found two discs in the last two days. Solid.  Wish  would treat my koozie better and not throw it around",Wish,positive,6
b7142010a1,Check this video out -- Bylaurenluke ~ Make up Launch~ They are here available now   http://tinyurl.com/cudamo,Check this video out -- Bylaurenluke ~ Make up Launch~ They are here available now   http://tinyurl.com/cudamo,neutral,7
73a87769d2, Re-direct that energy into creating men`s jewelry.    And frequent walks too.,Re-direct that energy into creating men`s jewelry.    And frequent walks to,neutral,8
0de7050311, what`s wrong with dressing in fifties fashion?,what`s wrong with dressing in fifties fashion?,neutral,9
4477151b67,Chillin` following some cool people!,cool,positive,10
e5492c0867,"ok, i`m actually going to sleep now =] i`ve been on here only an hour...i tweet far too much already","ok, i`m actually going to sleep now =] i`ve been on here only an hour...i tweet far too much already",neutral,11
42be424a29, oh Nancy - so sorry for your loss  & wishing you the best!,oh Nancy - so sorry for your loss  & wishing you the best!,neutral,12
2a76996986,night night twitter world. [still cant believe the thomas thing  tomorrow`s gunna be FUN/SAD],night night twitter world. [still cant believe the thomas thing  tomorrow`s gunna be FUN/SAD],neutral,13
5e820a039e,It is going to be a beautiful day!,beautiful,positive,14
5210cc55ae, no,no,neutral,15
79c0162c77, useless tweet! LOL jk yay!!! You`re coming tmr! How long u gnna be in phils for  ?,useless,negative,16
890cee2365,Fidel has no balls,Fidel has no balls,neutral,17
124e448e00,aaaaaw i want to live in the USA,aaaaaw i want to live in the USA,neutral,18
ea95be8d33, can`t wait to crack it open and no doubt will learn from it as well as support my evangelizing cubicle-freedom-ness!,can`t wait to crack it open and no doubt will learn from it as well as support my evangelizing cubicle-freedom-ness!,positive,19
dbd2f90fca, that is yo name girllll!,that is yo name girllll!,neutral,20
805ae96f87, You poor thing  Hang in there. -****- luf joe,poor,negative,21
08763cf8ee, shut up  you know what! oll just like zack again then.,shut up  you know what! oll just like zack again then.,neutral,22
757b11e355,Wow. Shabu.  And now HIMYM! Really feels comforting,comforting,positive,23
cdeaa93be4,  sucks,sucks,negative,24
e1c19defec," Yes it`s herrrrr.  Dude, I`m gonna **** cry.","Yes it`s herrrrr.  Dude, I`m gonna **** cry.",negative,25
9c49651ddf," Yeah, I`m not really feeling it either. Of course, I don`t like the movie line, I wish that we were getting more Animated.",", I don`t like the movie line,",negative,26
475d4c983e,A 35 minutos... Split-up.,A 35 minutos... Split-up.,neutral,27
0b64c5977e,there`s really no android twitter app of Tweetie`s calibre,there`s really no android twitter app of Tweetie`s calibre,neutral,28
894137c186, I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,neutral,29
1f641e94b4," OHMIGOD, I would have loved that. Alas, there was just lots of gun play. No dancing","I would have loved that. Alas,",neutral,30
b5f306cbdb,All I want is to see him tonight.  and I know it`s not gonna happen.,All I want is to see him tonight.  and I know it`s not gonna happen.,neutral,31
dc251c4986, I never was good at platform games...,I never was good,negative,32
21208ff8cb,"actually, i think i`m being mean to her....i feel sorry now",sorry,negative,33
55885b8d56," Me too, because Monday is end of weekend. But, we cannot escape it, so I wish you have a good week",wish,positive,34
9ec935f3c2, cool  that`s good. You back on trains for a while?,cool  that`s good.,positive,35
a1f3adf7ea,Talking to my best mate and my boyfriend on msn,Talking to my best mate and my boyfriend on msn,neutral,36
666d9b85ae, Same! And big moths and wasps and just insects in general HAHA I hate them,hate,negative,37
53e0d6282f,From Portugal to Derbyshire. At least sun is shining but lawn looks like Percy Thrower is Gardner-in-Residence! Weekend jobs =,From Portugal to Derbyshire. At least sun is shining but lawn looks like Percy Thrower is Gardner-in-Residence! Weekend jobs =,neutral,38
f515002af1,wtf at facebook spam saying that my DAD is my secret admirer,wtf at facebook spam,negative,39
c58dce817e," mmm, athletic!!","mmm, athletic!!",neutral,40
9eef247f72,"So, no yarn arriving until Monday and I don`t even know what`s in this shipment.  I have nothing to dye.    Now what?",I have nothing to dye.,negative,41
b7e406b98a,Happy Mothers Day to all the Mommies!,Happy Mothers Day to all the Mommies!,positive,42
f80acffa84, hiii im on my ipod...i cant fall asleep,hiii im on my ipod...i cant fall asleep,neutral,43
16e04e49ca,has found a free wifi point ... and it`s sunny,has found a free wifi point ... and it`s sunny,positive,44
bc0bff4db4," Yeah, I`ve never seen that! But, I guess I`ve never really needed it.","Yeah, I`ve never seen that! But, I guess I`ve never really needed it.",neutral,45
